time,Gphi,Gpsi,Ggamma,mass,Px,Py,Pz,Vx,Vy,Vz,Ma,H,semi_major_axis,time_to_go 
147.700000,30.854200,0.000000,0.000000,121175.500000,93180.800000,76044.300000,-64394.900000,2175.891700,1176.345700,-430.765400,0.000000,77054.067784,3400022.337673,324.475400,
147.701000,30.854200,0.000000,0.000000,121175.190921,93182.975895,76045.476343,-64395.330765,2175.898718,1176.340406,-430.765305,0.000000,77055.279822,3400023.535046,324.475400,
147.702000,30.854200,0.000000,0.000000,121174.881842,93185.151797,76046.652681,-64395.761531,2175.905735,1176.335111,-430.765210,0.000000,77056.491856,3400024.732425,324.475400,
147.703000,30.854200,0.000000,0.000000,121174.572763,93187.327707,76047.829013,-64396.192296,2175.912753,1176.329817,-430.765115,0.000000,77057.703886,3400025.929809,324.475400,
147.704000,30.854200,0.000000,0.000000,121174.263684,93189.503623,76049.005340,-64396.623061,2175.919770,1176.324523,-430.765020,0.000000,77058.915911,3400027.127198,324.475400,
147.705000,30.854200,0.000000,0.000000,121173.954605,93191.679546,76050.181662,-64397.053826,2175.926788,1176.319228,-430.764925,0.000000,77060.127932,3400028.324593,324.475400,
147.706000,30.854200,0.000000,0.000000,121173.645526,93193.855477,76051.357979,-64397.484591,2175.933805,1176.313934,-430.764829,0.000000,77061.339948,3400029.521994,324.475400,
147.707000,30.854200,0.000000,0.000000,121173.336447,93196.031414,76052.534290,-64397.915355,2175.940823,1176.308640,-430.764734,0.000000,77062.551960,3400030.719400,324.475400,
147.708000,30.854200,0.000000,0.000000,121173.027368,93198.207358,76053.710596,-64398.346120,2175.947841,1176.303345,-430.764639,0.000000,77063.763967,3400031.916811,324.475400,
147.709000,30.854200,0.000000,0.000000,121172.718289,93200.383310,76054.886897,-64398.776885,2175.954858,1176.298051,-430.764544,0.000000,77064.975970,3400033.114228,324.475400,
147.710000,30.854200,0.000000,0.000000,121172.409210,93202.559268,76056.063192,-64399.207649,2175.961876,1176.292757,-430.764449,0.000000,77066.187968,3400034.311651,324.475400,
147.711000,30.904200,-0.050000,0.000000,121172.100131,93204.735233,76057.239482,-64399.638414,2175.968890,1176.287469,-430.764347,0.000000,77067.399963,3400035.508851,326.158254,
147.712000,30.904200,-0.050000,0.000000,121171.791052,93206.911206,76058.415767,-64400.069178,2175.975904,1176.282181,-430.764244,0.000000,77068.611952,3400036.706057,326.158254,
147.713000,30.904200,-0.050000,0.000000,121171.481973,93209.087185,76059.592047,-64400.499942,2175.982918,1176.276893,-430.764142,0.000000,77069.823937,3400037.903268,326.158254,
147.714000,30.904200,-0.050000,0.000000,121171.172894,93211.263171,76060.768321,-64400.930706,2175.989932,1176.271605,-430.764040,0.000000,77071.035918,3400039.100485,326.158254,
147.715000,30.904200,-0.050000,0.000000,121170.863815,93213.439165,76061.944590,-64401.361470,2175.996946,1176.266317,-430.763937,0.000000,77072.247895,3400040.297707,326.158254,
147.716000,30.904200,-0.050000,0.000000,121170.554736,93215.615165,76063.120854,-64401.792234,2176.003960,1176.261029,-430.763835,0.000000,77073.459866,3400041.494934,326.158254,
147.717000,30.904200,-0.050000,0.000000,121170.245657,93217.791173,76064.297112,-64402.222998,2176.010974,1176.255741,-430.763732,0.000000,77074.671834,3400042.692168,326.158254,
147.718000,30.904200,-0.050000,0.000000,121169.936578,93219.967187,76065.473365,-64402.653762,2176.017988,1176.250453,-430.763630,0.000000,77075.883797,3400043.889406,326.158254,
147.719000,30.904200,-0.050000,0.000000,121169.627499,93222.143209,76066.649613,-64403.084525,2176.025002,1176.245165,-430.763528,0.000000,77077.095756,3400045.086650,326.158254,
147.720000,30.904200,-0.050000,0.000000,121169.318420,93224.319237,76067.825855,-64403.515289,2176.032016,1176.239878,-430.763425,0.000000,77078.307710,3400046.283900,326.158254,
147.721000,30.954200,-0.100000,0.000000,121169.009341,93226.495273,76069.002093,-64403.946052,2176.039027,1176.234596,-430.763316,0.000000,77079.519659,3400047.480925,328.507001,
147.722000,30.954200,-0.100000,0.000000,121168.700262,93228.671315,76070.178325,-64404.376815,2176.046037,1176.229314,-430.763206,0.000000,77080.731605,3400048.677956,328.507001,
147.723000,30.954200,-0.100000,0.000000,121168.391183,93230.847365,76071.354551,-64404.807578,2176.053047,1176.224033,-430.763096,0.000000,77081.943546,3400049.874993,328.507001,
147.724000,30.954200,-0.100000,0.000000,121168.082104,93233.023421,76072.530773,-64405.238341,2176.060058,1176.218751,-430.762986,0.000000,77083.155482,3400051.072034,328.507001,
147.725000,30.954200,-0.100000,0.000000,121167.773025,93235.199485,76073.706989,-64405.669104,2176.067068,1176.213470,-430.762877,0.000000,77084.367414,3400052.269082,328.507001,
147.726000,30.954200,-0.100000,0.000000,121167.463946,93237.375556,76074.883200,-64406.099867,2176.074078,1176.208188,-430.762767,0.000000,77085.579342,3400053.466135,328.507001,
147.727000,30.954200,-0.100000,0.000000,121167.154867,93239.551633,76076.059405,-64406.530630,2176.081089,1176.202907,-430.762657,0.000000,77086.791265,3400054.663193,328.507001,
147.728000,30.954200,-0.100000,0.000000,121166.845788,93241.727718,76077.235605,-64406.961393,2176.088099,1176.197625,-430.762548,0.000000,77088.003184,3400055.860257,328.507001,
